Type,Year,Location,number_of_slugs,total_slug_dry_mass,mean_slug_dry_mass
Present,2020,SH,24,1.42765,0.059485417
Present,2020,SH,1,0.00864,0.00864
Present,2020,SH,5,0.11711,0.023422
Present,2020,SH,27,1.66121,0.061526296
Present,2020,SH,8,0.31151,0.03893875
Present,2020,SH,18,0.67892,0.037717778
Present,2020,SH,28,1.78349,0.063696071
Present,2020,SH,19,0.75107,0.03953
Present,2020,SH,21,1.14996,0.05476
Present,2020,SH,23,1.03331,0.044926522
Present,2020,SH,34,1.4204,0.041776471
Present,2020,SH,19,0.91123,0.047959474
Present,2020,SH,7,0.12181,0.017401429
Present,2020,SH,24,1.11581,0.046492083
Present,2020,SH,2,0.03502,0.01751
Present,2020,SH,2,0.04553,0.022765
Present,2020,SH,2,0.08937,0.044685
Present,2020,SH,1,0.03396,0.03396
Present,2020,SH,1,0.01403,0.01403
Present,2020,SH,10,0.26443,0.026443
Present,2020,SH,3,0.10135,0.033783333
Present,2020,SH,2,0.13714,0.06857
Present,2020,SH,9,0.31079,0.034532222
Present,2020,SH,23,0.88855,0.038632609
Present,2020,SH,3,0.21368,0.071226667
Present,2020,SH,11,0.27609,0.025099091
Present,2020,SH,18,0.61104,0.033946667
Present,2020,SH,1,0.02301,0.02301
Present,2020,SH,4,0.12041,0.0301025
Present,2020,SH,3,0.22609,0.075363333
Present,2020,SH,0,0,
Present,2020,SH,0,0,
Present,2020,SH,0,0,
Present,2021,SH,2,0.04299,0.021495
Present,2021,SH,3,0.04081,0.013603333
Present,2021,SH,3,0.02142,0.00714
Present,2021,SH,10,0.10591,0.010591
Present,2021,SH,12,0.33677,0.028064167
Present,2021,SH,13,0.3213,0.024715385
Present,2021,SH,3,0.02742,0.00914
Present,2021,SH,1,0.06443,0.06443
Present,2021,SH,1,0.04484,0.04484
Present,2021,SH,4,0.05812,0.01453
Present,2021,SH,2,0.01625,0.008125
Present,2021,SH,6,0.08726,0.014543333
Present,2021,SH,10,0.21355,0.021355
Present,2021,SH,5,0.08655,0.01731
Present,2021,SH,11,0.12029,0.010935455
Present,2021,SH,1,0.01053,0.01053
Present,2021,SH,2,0.06149,0.030745
Present,2021,SH,3,0.03795,0.01265
Present,2021,SH,4,0.04873,0.0121825
Present,2021,SH,9,0.24105,0.026783333
Present,2021,SH,4,0.10478,0.026195
Present,2021,SH,4,0.0409,0.010225
Present,2021,SH,8,0.03734,0.0046675
Present,2021,SH,4,0.0747,0.018675
Present,2021,SH,6,0.08972,0.014953333
Present,2021,SH,8,0.07677,0.00959625
Present,2021,SH,3,0.01665,0.00555
Present,2021,SH,9,0.11928,0.013253333
Present,2021,SH,1,0.00322,0.00322
Present,2021,SH,12,0.4578,0.03815
Present,2021,SH,6,0.2433,0.04055
Present,2021,SH,3,0.03407,0.011356667
Present,2021,SH,2,0.03201,0.016005
Present,2021,SH,1,0.02781,0.02781
Present,2021,SH,4,0.06541,0.0163525
Present,2021,SH,6,0.04063,0.006771667
Present,2021,SH,3,0.05078,0.016926667
Present,2021,SH,3,0.03975,0.01325
Present,2021,SH,2,0.01296,0.00648
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2021,SH,0,0,
Present,2020,CN,8,0.17067,0.02133
Present,2020,CN,5,0.2125,0.0425
Present,2020,CN,87,3.49983,0.04023
Present,2020,CN,52,2.17321,0.04179
Present,2020,CN,50,1.77043,0.03541
Present,2020,CN,12,0.37626,0.03136
Present,2020,CN,63,2.5953,0.0412
Present,2020,CN,78,2.30168,0.02951
Present,2020,CN,38,1.56328,0.04114
Present,2020,CN,7,0.11976,0.01711
Present,2020,CN,2,0.07411,0.03706
Present,2020,CN,1,0.02279,0.02279
Present,2020,CN,2,0.07631,0.03816
Present,2020,CN,1,0.04385,0.04385
Present,2020,CN,20,0.99004,0.0495
Present,2020,CN,2,0.07309,0.03655
Present,2020,CN,19,0.84622,0.04454
Present,2020,CN,0,0,
Present,2020,CN,0,0,
Present,2020,CN,0,0,
Present,2021,CN,17,0.33132,0.019489412
Present,2021,CN,11,0.11161,0.010146364
Present,2021,CN,8,0.06803,0.00850375
Present,2021,CN,6,0.06685,0.011141667
Present,2021,CN,42,1.16325,0.027696429
Present,2021,CN,4,0.02965,0.0074125
Present,2021,CN,9,0.0763,0.008477778
Present,2021,CN,1,0.02597,0.02597
Present,2021,CN,25,0.5114,0.020456
Present,2021,CN,14,0.13656,0.009754286
Present,2021,CN,2,0.03121,0.015605
Present,2021,CN,6,0.09103,0.015171667
Present,2021,CN,18,0.25058,0.013921111
Present,2021,CN,1,0.00595,0.00595
Present,2021,CN,8,0.05854,0.0073175
Present,2021,CN,5,0.02946,0.005892
Present,2021,CN,4,0.0619,0.015475
Present,2021,CN,1,0.00982,0.00982
Present,2021,CN,27,0.40145,0.014868519
Present,2021,CN,4,0.06034,0.015085
Present,2021,CN,1,0.00346,0.00346
Present,2021,CN,2,0.03347,0.016735
Present,2021,CN,4,0.02392,0.00598
Present,2021,CN,2,0.0647,0.03235
Present,2021,CN,8,0.11355,0.01419375
Present,2021,CN,1,0.02342,0.02342
Present,2021,CN,12,0.25153,0.020960833
Present,2021,CN,13,0.3347,0.025746154
Present,2021,CN,28,0.45106,0.016109286
Present,2021,CN,2,0.00653,0.003265
Present,2021,CN,1,0.00765,0.00765
Present,2021,CN,14,0.2027,0.014478571
Present,2021,CN,6,0.03499,0.005831667
Present,2021,CN,2,0.04969,0.024845
Present,2021,CN,9,0.17748,0.01972
Present,2021,CN,1,0.00326,0.00326
Present,2021,CN,34,0.61082,0.017965294
Present,2021,CN,16,0.30292,0.0189325
Present,2021,CN,60,0.78227,0.013037833
Present,2021,CN,1,0.01188,0.01188
Present,2021,CN,6,0.07334,0.012223333
Present,2021,CN,1,0.00378,0.00378
Present,2021,CN,6,0.05783,0.009638333
Present,2021,CN,1,0.0088,0.0088
