number_of_slugs,mean_slug_dry_mass
24,0.059485417
1,0.00864
5,0.023422
27,0.061526296
8,0.03893875
18,0.037717778
28,0.063696071
19,0.03953
21,0.05476
23,0.044926522
34,0.041776471
19,0.047959474
7,0.017401429
24,0.046492083
2,0.01751
2,0.022765
2,0.044685
1,0.03396
1,0.01403
10,0.026443
3,0.033783333
2,0.06857
9,0.034532222
23,0.038632609
3,0.071226667
11,0.025099091
18,0.033946667
1,0.02301
4,0.0301025
3,0.075363333
2,0.021495
3,0.013603333
3,0.00714
10,0.010591
12,0.028064167
13,0.024715385
3,0.00914
1,0.06443
1,0.04484
4,0.01453
2,0.008125
6,0.014543333
10,0.021355
5,0.01731
11,0.010935455
1,0.01053
2,0.030745
3,0.01265
4,0.0121825
9,0.026783333
4,0.026195
4,0.010225
8,0.0046675
4,0.018675
6,0.014953333
8,0.00959625
3,0.00555
9,0.013253333
1,0.00322
12,0.03815
6,0.04055
3,0.011356667
2,0.016005
1,0.02781
4,0.0163525
6,0.006771667
3,0.016926667
3,0.01325
2,0.00648
